Type of collision,2022-Accidents,2022-Killed,2022-injured,2023-Accidents,2023-Killed,2023-injured,%Change-Accidents,%Change-killed,%Change-Injured
Hit and Run,"67,387","30,486","54,726","68,783","31,209","54,574",2.1,2.4,-0.3
% share,15,18,12,14,18,12,,,
With parked Vehicle,"14,139","6,012","12,666","13,810","5,636","12,575",-2.3,-6.3,-0.7
% share,3,4,3,3,3,3,,,
Hit from Back,"98,668","32,907","95,241","1,10,656","36,804","1,07,161",12.1,11.8,12.5
% share,21,20,22,23,21,23,,,
Hit from side,"71,146","20,357","72,190","73,805","20,623","74,017",3.7,1.3,2.5
% share,15,12,16,15,12,16,,,
Run off Road,"20,590","9,862","20,170","21,527","10,196","20,719",4.6,3.4,2.7
% share,4,6,5,4,6,4,,,
Fixed object,"15,368","7,307","14,829","17,451","8,291","16,416",13.6,13.5,10.7
% share,3,4,3,4,5,4,,,
Vehicle overturn,"20,070","9,827","21,138","18,905","9,124","21,216",-5.8,-7.2,0.4
% share,4,6,5,4,5,5,,,
Head on collision,"77,886","26,413","83,580","84,348","28,898","89,867",8.3,9.4,7.5
% share,17,16,19,18,17,19,,,
Others,"76,058","25,320","68,826","71,298","22,109","66,280",-6.3,-12.7,-3.7
% share,16,15,16,15,13,14,,,
Total,"4,61,312","1,68,491","4,43,366","4,80,583","1,72,890","4,62,825",4.2,2.6,4.4
