Category,2022-Accidents,2022-Killed,2022-injured,2023-Accidents,2023-Killed,2023-injured,%Change-Accidents,%Change-killed,%Change-Injured
Over-speeding,"3,33,323","1,19,904","3,22,795","3,28,727","1,17,682","3,20,416",-1.38,-1.85,-0.74
% share of total,72.26,71.16,72.81,68.4,68.07,69.23,,,
Drunken driving/consumption of alcohol & drug,"10,080","4,201","8,809","9,143","3,674","8,421",-9.3,-12.54,-4.4
% share of total,2.19,2.49,1.99,1.9,2.13,1.82,,,
Driving on wrong side/Lane indiscipline,"22,586","9,094","21,745","25,242","9,432","24,435",11.76,3.72,12.37
% share of total,4.9,5.4,4.9,5.25,5.46,5.28,,,
Jumping red light,"4,021","1,462","3,450","2,440",818,"2,157",-39.32,-44.05,-37.48
% share of total,0.87,0.87,0.78,0.51,0.47,0.47,,,
Use of mobile phone,"7,558","3,395","6,255","7,122","2,884","6,445",-5.77,-15.05,3.04
% share of total,1.64,2.01,1.41,1.48,1.67,1.39,,,
Others,"83,744","30,435","80,312","1,07,909","38,400","1,00,951",28.86,26.17,25.7
% share of total,18.15,18.06,18.11,22.45,22.21,21.81,,,
All India,"4,61,312","1,68,491","4,43,366","4,80,583","1,72,890","4,62,825",4.18,2.61,4.39
